 1	 -20.000	 -20.000	 -7.320
 2	 -10.000	 -20.000	 -6.320
 3	 0.000	 -20.000	 -7.320
 4	 10.000	 -20.000	 -6.320
 5	 20.000	 -20.000	 -7.320
 6	 -20.000	 -10.000	 -6.320
 7	 -10.000	 -10.000	 -7.320
 8	 0.000	 -10.000	 -6.320
 9	 10.000	 -10.000	 -7.320
10	 20.000	 -10.000	 -6.320
11	 -20.000	 0.000	 -7.320
12	 -10.000	 0.000	 -6.320
13	 0.000	 0.000	 -7.320
14	 10.000	 0.000	 -6.320
15	 20.000	 0.000	 -7.320
16	 -20.000	 10.000	 -6.320
17	 -10.000	 10.000	 -7.320
18	 0.000	 10.000	 -6.320
19	 10.000	 10.000	 -7.320
20	 20.000	 10.000	 -6.320
21	 -20.000	 20.000	 -7.320
22	 -10.000	 20.000	 -6.320
23	 0.000	 20.000	 -7.320
24	 10.000	 20.000	 -6.320
25	 20.000	 20.000	 -7.320
